date|text
2025-09-13 15:33:42+00|"Написал статью с формальным описанием методологии GRACE (Graph-RAG Anchored Code Engineering) по автоматической генерации кода ИИ агентами. Думаю, что почитав как генерируются большие приложения с помощью ИИ, многие поймут, почему у многих возникает ""технический долг"" при работе с ИИ и они не могут создать больше 1го рабочего модуля.
GRACE предназначен для больших приложений, которые на 100% генерируются с помощью ИИ. Методология имеет смысл для кода от 800-1000 строк. Для совсем мелких приложений скорее избыточная, но это больше для средних и крупных Enterprise приложений.
Впервые публично раскрывается технология ""семантического каркаса кода"", что сейчас закрыта страшными NDA у крупнейших IT-концернов, чтобы обеспечивать им конкурентные преимущества.
Сам по себе методология сильно приземленная на конкретные особенности sparse attention у GPT и специфики работы RAG-агентов по коду как Cursor. Для распределенного внимания семантический каркас позволяет ИИ легко манипулировать даже 20.000 строк кода в одном контексте sparse attention, а для RAG агентов позволяет в 1-3 прыжка оказаться в нужном блоке кода и сразу же собрать контекст как его править. 
GRACE отлаживался несколько месяцев на более чем 200 специалистах на моих обучениях, в итоговую версию вошло только то, что реально эффективно работает. Сам GRACE совместим с моей методологией создания агентов PCAM, но не требует PCAM обязательно, т.к. это скорее технология генерации большого кода и способность ИИ контролировать без ""технических долгов"" как у новичков в ИИ генерации кода.
В рамках поста не все тезисы могу описать, фреймворк на деле методически довольно крупный. По факту что-то вроде RUP для AI-эпохи получается постепенно. Поэтому рекомендую почитать статью, скорее отдельные элементы методологии буду раскрывать отдельными публикациями. Сами по себе GRACE и PCAM поддерживают моими курсами обучения и готовыми учебно-боевыми примерами решений.
vk.com/@turboplanner-grace-freimvork-sozdaniya-koda-llm-v-bolshih-kontekstah-s-uc"
2025-09-17 13:08:33+00|"Мне удалось все же найти прямое указание Open AI на то, что JSON не рекомендуется в больших контекстах, а рекомендуется XML или XML-подобные разметки как используют промптеры Google или я в GRACE.
Open AI обновил несколько месяцев назад GPT-4.1 Prompting Guide и прямо включил туда указание - ""не пользоваться JSON в большом контексте"".
Ранее у Open AI была статья с большим развернутым тестом по этой теме, а не только выводы, но для ""простых смертных"" нужно следовать просто указаниям вендора, а не спорить с ним. 
Сейчас ставку на XML-подобные разметки официально поддержал Open AI и Google, ссылка на Lee из гайда Open AI на деле ссылка на ""
Can Long-Context Language Models Subsume Retrieval, RAG, SQL, and More?
""
Через свой метод ИИ-анализа логитов, я наблюдаю причину деградации JSON - большой семантический шум и более медленная сходимость GPT на JSON данных относительно XML и XML-подобных разметок. Причина в том, что ИИ по факту начинает ""считать скобки"" и на большом контексте сбивается, а также фигурные скобки дергают левые корреляции. В Qwen такие же эффекты. Речь об универсальной реакции GPT, а не каком-то продукте одного вендора.
Поэтому если вы в теме RAG видите кого-то кто пытается носится с JSON, то самое время спросить у него, а хороший ли это был выбор?
https://cookbook.openai.com/examples/gpt4-1_prompting_guide#delimiters"
2025-09-20 04:07:40+00|"Нашлось время потестировать Qwen 3 Next и, мягко говоря, я поражен, что сделали китайцы с Mamba.
В моей семантической разметке кода по методике GRACE на 75.000 токенах восстановление составило 99,9% точным цитированием
. Помарки незначительные и не влияют на понимание кода и даже точные ссылки по API.
Что тут удивительного, скажете? На таком размере данных только KV Cache может достигать 100 Гб памяти, а Mamba сжала 75.000 токенов в ... 24 МЕГАБАЙТА!
Основная идея Mamba в том, чтобы читая текст по токену обновлять этот свой Mamba State с сумаризацией смыла текста. В Qwen 3 Next через обычный трансформер по ASW видно только последние 2000 токенов, правда их информация передается в Mamba State через Hidden State, но скользящее окно нельзя ""переставить"" назад. Sparse Attention у Qwen 3 Next нет как механизма вообще.
 Перед началом эксперимента я хотел понять насколько Qwen 3 Next обобщает программный код и скормил ему часть своего учебно-боевого кода по RAG приложению. К моему изумлению ""общение"" было по факту точным цитированием с ошибкой 0,1% (!). Это удивительно только для пользователей GPT где привыкли к перерасходам памяти. На деле 75 тысяч токенов = 300 Кб, т.е. Mamba State в 24 Мегабайта имеет большой запас информационной емкости. 
Правда восстановление Qwen 3 Next с такой точностью возможно только если данные имеют 
семантические разметки
, как я в методике GRACE использую. Без них на обычных текстах или провалы или галлюцинации замечал.
Тем не менее, Qwen грозит вышвырнуть всех конкурентов из ниши малых решений, т.к. Qwen 3 Next имеет феерически маленький расход памяти даже на больших контекстах, а память и есть главная проблема малых инсталляций.
Сама по себе Mamba архитектура не имеет ограчения на длину контекста, оно временное у Qwen 3 Next. В ней нужно только последние 2000 векторов для Qwen, а остальное обобщается в состоянии Mamba, но с невероятной  детализацией. По факту Mamba у Qwen может работать хоть на 100 миллионов токенов контекста, им нужно только Positional Encoding под них сделать и там просто снизится качество видимости, но мы видим первый промышленный ИИ по факту ""бесконечного контекста"".
Я думаю, что всем стоит разбираться как готовить данные для Mamba архитектуре разметками. С кодом я вопрос уже с GRACE решил, но есть куча других данных, которым нужны Mamba-совместимые семантические разметки. 
 
Возможно у кого-то код в таком состоянии качества, что у него получится и без разметок получить сходные результаты, но на просто случайном коде у меня получались галлюцинации у Qwen 3 Next. Поделитесь в комментариях своими экспериментами. 
Тем не менее, мы кажется наблюдаем нового короля локальных инсталляций ИИ в России. Какие-то мелочи подпилят, но низкая потребность в памяти и быстрый разряженный MoE - решают все.
PS. И да, Mamba - умеет ""передумывать"" в отличии от GPT с его заморозкой семантики, Qwen 3 Next просто имеет операцию стирания ошибочных фактов из Mamba State. Для брейнштормов - бесценно."
2025-09-20 15:55:00+00|"Но самый важный, даже революционный момент, в Mamba-реализации у Qwen 3 Next, что в 
Qwen решили ""
проблему цитирования
"" для Mamba
. Правда вам нужно владеть не мемами из Telegram-каналов, а 
семантической разметкой
, чтобы наблюдать чудо 99,9% восстановления исходного текста.
В основе чуда у Qwen просто их ""банальное"" решение сделать Mamba state так, что информационно он имеет просто емкость примерно в 10 раз больше, чем ваше число токенов в контексте, поэтому для их Mamba достаточно просто потратить около 10% своей памяти, чтобы очень точно помнить ваш контекст.
Однако тут важно, что Mamba по факту создает аналог сложного графа связей сущностей в контексте, где в конце в листики графа подвешивает корреляции весьма точно указывающие как восстанавливать даже цитаты.
В этом плане Mamba мастер составления графов по контекстам, т.к. ее Mamba State по факту крайне упорядоченный граф и есть. Сами графы для Mamba в контексте играют не роль ассистирования sparse attention как у GPT, его там нет, а для защиты Mamba от галлюцинаций, т.к. Qwen 3 Next запоминает ваш граф, а потом внутри сравнивает со своим и в случае разниц понимает, что тут нужно более детальное моделирование. Это прямо можно увидеть, если попросить сделать замечания к вашему графу, Qwen 3 Next намного лучше описывает дельту между графом и контекстом, чем GPT и Mamba меньше глючит с графом от вас.
Однако чтобы Mamba могла четко понимать и главное цитировать очень точно ваш контекст, то он должен быть очень упорядоченным и размеченным семантикой и различными XML-подобными тегами, чтобы Mamba смогла перевести ваш контекст в свою интерпретацию упорядоченной структуры, то вы должны контекст оформить в таком виде.
Сейчас я вижу, что мои семантические разметки GRACE имеют невероятную совместимость с Qwen 3 Next. Причем не только для цитирования кода с 99,9% точностью, но и для ответов по устройству кода в разных семантических срезах. Qwen 3 Next намного лучше с моим GRACE отвечает на вопросы по Data Flow в коде, чем даже Gemini или Claude. Как минимум для анализа кода я Qwen 3 Next всем рекомендую, совсем другой взгляд и еще граф может сделать лучше GPT.
Однако если Mamba наберет обороты, то зависимость от семантических разметок контекста взлетит по экспоненте. Всем нужно будет делать что-то  в духе моего GRACE для своих контекстов или Mamba не то что не сможет цитировать, а просто начнет галлюцинировать иногда, придумывая что-то. Для Mamba нужны жесткие сематические связи в контексте, чтобы она могла из семантической голограммы контекста в своем стейт восстановить точные цитирования.
https://vk.com/@turboplanner-grace-freimvork-sozdaniya-koda-llm-v-bolshih-kontekstah-s-uc"
2025-09-21 15:40:34+00|"Статистика Open Router показывает, что начался просто экспоненциальный взрывной рост внедрения ИИ в генерацию кода.
Если еще в январе у провайдера покупали меньше 500 миллиардов токенов в неделю, то сейчас больше 5 триллионов. Рост потребления ИИ в 10 (ДЕСЯТЬ!) раз.
Изучение кто столько потребляет указывает, но как раз внедрения разных RAG и агентов не в тренде. Наибольшую экономическую эффективность ИИ дает на замене программистов генерацией кода - около 80% потребления ИИ.
Спектр потребления указывает, что это не ""чайники"" и не ""эксперименты"". Это профессиональный разработчики, они бросают миллионами (без преувеличения) старые практики и инструменты и бегут в ИИ. Что это профессионалы хорошо видно по таким маркерам:
- Для них бесплатность инструмента не аргумент, они реагируют на цену, но если нужно покупают и дорогой Claude в больших объемах
- Спектр их инструментов через которые они делают потребление ИИ - это инструменты профессиональных разработчиков, обычно развитые агенты в различные профессиональные IDE
Хотя опросы и показывают, что ИИ как-то пользуется 50-70% разработчиков, но популярно мнение, что это ""эксперименты и тесты"". НИЧЕГО ПОДОБНОГО, никто не будет платить миллионы долларов за эксперименты. 
Мы наблюдаем рост по экспоненте генерации кода с ИИ и поглощение старого IT бизнеса, новым AI IT бизнесом в ГЕОМЕТРИЧЕСКОЙ ПРОГРЕССИИ.
Тут важно всем успеть заскочить в последний вагон уходящего AI-поезда, тем кто еще не освоил ИИ-генерацию кода профессионально. Тут даже не важно чем пользоваться, моей методикой GRACE или своей, Cursor или Kilo Code. Важно что-то уже внедрить профессионально.
Старый ИТ бизнес определенно на горящей платформе и доживает свое"
2025-09-21 19:23:02+00|"Оформил с Gemini результаты нашего эксперимента, где моя семантическая разметка GRACE позволила получить невероятный эффект для Mamba-модели как Qwen 3 Next как точность цитирования 99,9%, что переворачивает само понимание о возможностях архитектуры Mamba в гибридном виде с GPT.
Отсутствие огромных расходов памяти на KV Cache и очень высокая скорость работы Qwen 3 Next делают его крайне привлекательным как локальное ИИ решение на ограниченном по мощности оборудовании. Особенно важна поддержка многих пользователей, т.к. KV Cache на prefill создает еще каждому пользователю отдельно копию.
Однако Mamba архитектура требует очень высокой строгости подготовки контекста, в той или иной степени галлюцинации неизбежны, поэтому требуется доступ  Qwen 3 Next к инструментам RAG-агента для self correction (о чем будет отдельная статья).
Данная статья обобщение большого эксперимента с кодом, что Mamba может, а что нет. Сама сессия с данными эксперимента доступна для тех кто заказывал консалтинг и обучение. Пишите в личку - дам ссылку.
https://vk.com/@turboplanner-semanticheskaya-razmetka-grace-kak-nativnyi-interfeis-dlya-m"
2025-09-23 05:07:02+00|"Как я уже отмечал по статистике Open Router, это Телеграм-иллюзия, что есть ""преданные фанаты"" Claude или Gemini. Стоило Маску дропнуть ценник на Grok, так все побежали к нему. 
У xAI  в реале 56% (!) рынка генерации кода по Open Router. У меня есть объяснение почему стала разваливаться дуполия Claude-Gemini в пользу новых игроков. 
Причина в 3х факторах:
1. Разработчики стали опытнее с ИИ, поэтому стали применять интенсивное моделирование архитектуры и требований до начала создания кода. По факту у себя в GRACE я тут систематизирую многие бестпрактики, но основной момент, что по нормальным моделям ИИ намного легче генерировать код и требования к качеству LLM на деле снижается. Более хорошая методика разработки требует меньше закрывать самим LLM косяков разработчиков.
2. Все больше кода создано ИИ у разработчиков. Часто применяются и контракты и семантические разметки как в GRACE. Такой код AI Friendly и его ИИ намного легче править, опять же снижаются требования к качеству LLM.
3. Вендоры сильно подтянулись в тесте SWE Bench. Замеры разных методик, сам xAI померил 70%, другие - 58%, но это тоже много. По факту для правок большого кода LLM всех топовых вендоров довольно хороши.
Если кратко, то тренд переключился с ""задачи-фикс"" найти LLM в духе ""волшебной палочки"", которая делает все сама, такое невозможно, в пользу все более провинутых методик работы с LLM на генерации кода. Это в свою очередь привело к тому, что разработчики стали меньше зависимы от вендоров ИИ и больше реагируют на цену."
2025-09-24 19:21:24+00|"Интересно, прекратит ли Маск свой демпинг на рынке ИИ агентов создания кода или это его долгосрочная стратегия.
Для начала, стратегия Маска просто ""выдавить ценой"" даже Claude вполне работает. 
Платный вариант Grok Code Fast примерно в 10 раз дешевле Claude. Плюс по скорости вывода первого токена и генерации дальше заметно лучше Claude и Gemini.
Фокус тут еще в том, что если применять семантические разметки как в GRACE, то можно сделать Architect фазу в AI Studio, там заработала интеграция с GitHub к слову, а потом просто фиксить и доделывать мелочи через Grok.
Получается бесплатное премиальное качество на планировании ИИ архитектуры и бесплатное и премиальное качество по скорости на фиксах.
Отмечу, что Маск еще держит тестовые версии постоянно под кодовыми названиями типа ""Soroma"".
Если ситуация сохранится такой, ландшафт генерации кода сильно изменится.
Маск понял, что жадность девелоперов важнее даже тестов для ИИ. 
😜
Но для фиксов Grok реально ""good enough"", причем часто лучше других ИИ, т.к. Grok склонен к ""болтливости"" на анализе проблем, а это дает ему очень хороший контекст для их исправления. Другие ИИ сразу хватаются править код, поэтому эффект часто хуже."
2025-09-25 02:23:38+00|"Kilo Code добавило векторизацию кода для семантического поиска, что во многом пошатнуло позиции Cursor, т.к. среди  конкурирующих ИИ агентов векторного поиска не было обычно.
Существенный момент, что это работает совсем бесплатно и быстро через эмбеддинги Google на 768 измерений, а как векторная база используется Qdrant у которых на Free Tier довольно приличная векторная база помещается - 4 Гб. Обычно нужно около 30 Мб на 10.000 строк кода, даже с учетом очень мелких чанков по AST у Kilo Code.
Я поизучал семантический поиск как он работает в типичной имплементации через Qdrant на их примере. На деле заметил снова, что удачно придумал свои семантические разметки GRACE,  векторный поиск Qdrant чаще реагирует даже не описание словами в комментариях и не на сам код, а на мои специальные теги разметки кода, т.к. семантически они богаче и комментов и кода.
https://www.youtube.com/watch?v=dj59Vi83oDw"
2025-09-25 05:27:14+00|"Хороший мастер класс по векторному RAG на примере Kilo Code.
Вот пример векторизации, где они разбивают большую часть кода на такие очень мелкие чанки по AST. Чаще всего это 1-3 строки как тут.
По факту это приводит к тому, что мои GRACE разметки как тут  START_SAVE_TO_EXCEL и другие как раз цепляются векторным поиском (где-то 60% из Top 10 семантическим поиском это мои разметки).
Зачем такие мелкие чанки делает инженер в Kilo Code? Дело в том, что он учитывает, что векторизация будет чаще делаться векторами невысокой размерности как тут в 768 измерений, но даже с вектором на 3000 измерений есть проблема известная как ""катастрофа суперпозиции"". Я публиковал по ней статью. На самом деле у ИИ такая высокая размерность векторов, чтобы складывая много векторов в один хотя бы по некоторым измерениям разные вектора были перпендикулярные, а потому различимые. Если размерность снижать, то векторным сравнением очень сложно выделить ИНДИВИДУАЛЬНЫЕ вектора.
Поэтому как раз большой чанк как во многих RAG, в случае кода бы привел к большому семантическому размытию отдельных сущностей. А для ИИ агентов программирования очень важный кейс замещать Call Graph, которого у них нет, на семантический поиск. Поэтому им очень важно надежное реагирование на ключевые слова и синонимы. Поэтому и такое мелкое дробление.
Поскольку у меня семантические разметки генерируются как наборы ключевых слов по семантике блоков кода, то они сразу же вылезли в топ векторного поиска.
Тут хорошо видно насколько важна семантическая разметка и в кейсе векторного поиска. До этого я показывал как она важна для Mamba ИИ, если они код анализируют. Еще раньше я писал о том как важна она для инструментов редактирования кода ИИ агентов для их ""зацепок за код"". Продолжать можно долго. На деле ее неважной могут считать только специалисты, которые просто с ней не пересекались на практике"
